"movieId","provider_id","provider_name","type"
1,3,"Google Play Movies","buy"
2,2,"Apple iTunes","buy"
2,3,"Google Play Movies","buy"
3,2,"Apple iTunes","buy"
3,3,"Google Play Movies","buy"
4,3,"Google Play Movies","buy"
5,3,"Google Play Movies","buy"
6,,,"buy"
7,2,"Apple iTunes","buy"
7,3,"Google Play Movies","buy"
8,,,"buy"
9,2,"Apple iTunes","buy"
9,3,"Google Play Movies","buy"
10,2,"Apple iTunes","buy"
10,3,"Google Play Movies","buy"
11,2,"Apple iTunes","buy"
12,,,"buy"
13,2,"Apple iTunes","buy"
13,3,"Google Play Movies","buy"
14,,,"buy"
15,,,"buy"
16,2,"Apple iTunes","buy"
16,3,"Google Play Movies","buy"
17,2,"Apple iTunes","buy"
17,3,"Google Play Movies","buy"
18,,,"buy"
19,2,"Apple iTunes","buy"
19,3,"Google Play Movies","buy"
20,,,"buy"
21,3,"Google Play Movies","buy"
22,,,"buy"
23,2,"Apple iTunes","buy"
24,,,"buy"
25,2,"Apple iTunes","buy"
26,2,"Apple iTunes","buy"
26,3,"Google Play Movies","buy"
27,,,"buy"
28,2,"Apple iTunes","buy"
29,,,"buy"
30,,,"buy"
31,,,"buy"
32,2,"Apple iTunes","buy"
32,3,"Google Play Movies","buy"
33,,,"buy"
34,2,"Apple iTunes","buy"
34,3,"Google Play Movies","buy"
35,,,"buy"
36,2,"Apple iTunes","buy"
37,,,"buy"
38,,,"buy"
39,2,"Apple iTunes","buy"
39,3,"Google Play Movies","buy"
40,,,"buy"
41,,,"buy"
42,,,"buy"
43,,,"buy"
44,2,"Apple iTunes","buy"
44,3,"Google Play Movies","buy"
45,,,"buy"
46,2,"Apple iTunes","buy"
47,2,"Apple iTunes","buy"
47,3,"Google Play Movies","buy"
48,3,"Google Play Movies","buy"
49,,,"buy"
50,3,"Google Play Movies","buy"
51,,,"buy"
52,,,"buy"
53,,,"buy"
54,,,"buy"
55,,,"buy"
56,,,"buy"
57,,,"buy"
58,,,"buy"
59,,,"buy"
60,,,"buy"
61,2,"Apple iTunes","buy"
61,3,"Google Play Movies","buy"
62,,,"buy"
63,,,"buy"
64,,,"buy"
65,2,"Apple iTunes","buy"
66,,,"buy"
67,,,"buy"
68,,,"buy"
69,2,"Apple iTunes","buy"
70,2,"Apple iTunes","buy"
71,2,"Apple iTunes","buy"
72,,,"buy"
73,,,"buy"
74,,,"buy"
75,,,"buy"
76,,,"buy"
77,,,"buy"
78,,,"buy"
79,2,"Apple iTunes","buy"
80,,,"buy"
81,,,"buy"
82,,,"buy"
83,,,"buy"
84,,,"buy"
85,,,"buy"
86,,,"buy"
87,,,"buy"
88,2,"Apple iTunes","buy"
88,3,"Google Play Movies","buy"
89,,,"buy"
90,,,"buy"
92,2,"Apple iTunes","buy"
93,3,"Google Play Movies","buy"
94,,,"buy"
95,3,"Google Play Movies","buy"
96,,,"buy"
97,,,"buy"
98,,,"buy"
99,,,"buy"
100,2,"Apple iTunes","buy"
101,2,"Apple iTunes","buy"
102,,,"buy"
103,,,"buy"
104,2,"Apple iTunes","buy"
104,3,"Google Play Movies","buy"
105,2,"Apple iTunes","buy"
105,3,"Google Play Movies","buy"
106,,,"buy"
107,,,"buy"
108,,,"buy"
109,,,"buy"
110,3,"Google Play Movies","buy"
111,2,"Apple iTunes","buy"
111,3,"Google Play Movies","buy"
112,,,"buy"
113,,,"buy"
114,,,"buy"
115,,,"buy"
116,,,"buy"
117,,,"buy"
118,2,"Apple iTunes","buy"
119,,,"buy"
120,,,"buy"
121,,,"buy"
122,3,"Google Play Movies","buy"
123,,,"buy"
124,,,"buy"
125,,,"buy"
126,,,"buy"
127,,,"buy"
128,,,"buy"
129,,,"buy"
130,,,"buy"
131,,,"buy"
132,,,"buy"
133,,,"buy"
134,,,"buy"
135,3,"Google Play Movies","buy"
136,,,"buy"
137,,,"buy"
138,,,"buy"
139,,,"buy"
140,,,"buy"
141,2,"Apple iTunes","buy"
141,3,"Google Play Movies","buy"
142,,,"buy"
143,,,"buy"
144,,,"buy"
145,2,"Apple iTunes","buy"
145,3,"Google Play Movies","buy"
146,,,"buy"
147,,,"buy"
148,,,"buy"
149,,,"buy"
150,2,"Apple iTunes","buy"
150,3,"Google Play Movies","buy"
151,2,"Apple iTunes","buy"
151,3,"Google Play Movies","buy"
152,,,"buy"
153,2,"Apple iTunes","buy"
153,3,"Google Play Movies","buy"
154,2,"Apple iTunes","buy"
155,,,"buy"
156,,,"buy"
157,,,"buy"
158,,,"buy"
159,2,"Apple iTunes","buy"
160,2,"Apple iTunes","buy"
160,3,"Google Play Movies","buy"
161,3,"Google Play Movies","buy"
162,,,"buy"
163,2,"Apple iTunes","buy"
163,3,"Google Play Movies","buy"
164,,,"buy"
165,3,"Google Play Movies","buy"
166,,,"buy"
167,,,"buy"
168,2,"Apple iTunes","buy"
168,3,"Google Play Movies","buy"
169,2,"Apple iTunes","buy"
169,3,"Google Play Movies","buy"
170,2,"Apple iTunes","buy"
170,3,"Google Play Movies","buy"
171,,,"buy"
172,,,"buy"
173,,,"buy"
174,,,"buy"
175,,,"buy"
176,,,"buy"
177,,,"buy"
178,,,"buy"
179,,,"buy"
180,2,"Apple iTunes","buy"
180,3,"Google Play Movies","buy"
181,,,"buy"
182,,,"buy"
183,,,"buy"
184,,,"buy"
185,3,"Google Play Movies","buy"
186,,,"buy"
187,,,"buy"
188,,,"buy"
189,,,"buy"
190,,,"buy"
191,,,"buy"
192,,,"buy"
193,2,"Apple iTunes","buy"
194,,,"buy"
195,2,"Apple iTunes","buy"
195,3,"Google Play Movies","buy"
196,2,"Apple iTunes","buy"
196,3,"Google Play Movies","buy"
197,,,"buy"
198,,,"buy"
199,,,"buy"
200,,,"buy"
201,,,"buy"
202,,,"buy"
203,2,"Apple iTunes","buy"
204,2,"Apple iTunes","buy"
204,3,"Google Play Movies","buy"
205,,,"buy"
206,,,"buy"
207,3,"Google Play Movies","buy"
208,2,"Apple iTunes","buy"
208,3,"Google Play Movies","buy"
209,,,"buy"
210,2,"Apple iTunes","buy"
211,,,"buy"
212,,,"buy"
213,,,"buy"
214,,,"buy"
215,2,"Apple iTunes","buy"
