"movieId","provider_id","provider_name","type"
1,337,"Disney Plus","flatrate"
1,167,"Claro video","flatrate"
2,8,"Netflix","flatrate"
2,339,"Movistar Play","flatrate"
3,119,"Amazon Prime Video","flatrate"
3,339,"Movistar Play","flatrate"
4,619,"Star Plus","flatrate"
5,,,"flatrate"
6,8,"Netflix","flatrate"
6,119,"Amazon Prime Video","flatrate"
6,619,"Star Plus","flatrate"
6,11,"Mubi","flatrate"
6,339,"Movistar Play","flatrate"
7,,,"flatrate"
8,337,"Disney Plus","flatrate"
9,,,"flatrate"
10,,,"flatrate"
11,,,"flatrate"
12,,,"flatrate"
13,8,"Netflix","flatrate"
14,619,"Star Plus","flatrate"
15,,,"flatrate"
16,384,"HBO Max","flatrate"
16,339,"Movistar Play","flatrate"
16,31,"HBO Go","flatrate"
17,8,"Netflix","flatrate"
18,,,"flatrate"
19,8,"Netflix","flatrate"
19,531,"Paramount Plus","flatrate"
20,,,"flatrate"
21,,,"flatrate"
22,,,"flatrate"
23,339,"Movistar Play","flatrate"
24,,,"flatrate"
25,,,"flatrate"
26,,,"flatrate"
27,,,"flatrate"
28,,,"flatrate"
29,,,"flatrate"
30,,,"flatrate"
31,619,"Star Plus","flatrate"
32,,,"flatrate"
33,,,"flatrate"
34,,,"flatrate"
35,,,"flatrate"
36,,,"flatrate"
37,,,"flatrate"
38,,,"flatrate"
39,384,"HBO Max","flatrate"
40,,,"flatrate"
41,,,"flatrate"
42,,,"flatrate"
43,,,"flatrate"
44,384,"HBO Max","flatrate"
44,339,"Movistar Play","flatrate"
45,,,"flatrate"
46,,,"flatrate"
47,384,"HBO Max","flatrate"
48,337,"Disney Plus","flatrate"
49,,,"flatrate"
50,,,"flatrate"
51,,,"flatrate"
52,,,"flatrate"
53,,,"flatrate"
54,337,"Disney Plus","flatrate"
55,,,"flatrate"
56,,,"flatrate"
57,,,"flatrate"
58,,,"flatrate"
59,,,"flatrate"
60,,,"flatrate"
61,,,"flatrate"
62,,,"flatrate"
63,,,"flatrate"
64,,,"flatrate"
65,,,"flatrate"
66,,,"flatrate"
67,,,"flatrate"
68,,,"flatrate"
69,8,"Netflix","flatrate"
70,,,"flatrate"
71,384,"HBO Max","flatrate"
72,,,"flatrate"
73,,,"flatrate"
74,,,"flatrate"
75,,,"flatrate"
76,,,"flatrate"
77,,,"flatrate"
78,,,"flatrate"
79,384,"HBO Max","flatrate"
79,31,"HBO Go","flatrate"
80,,,"flatrate"
81,,,"flatrate"
82,,,"flatrate"
83,,,"flatrate"
84,,,"flatrate"
85,,,"flatrate"
86,,,"flatrate"
87,,,"flatrate"
88,,,"flatrate"
89,,,"flatrate"
90,,,"flatrate"
92,,,"flatrate"
93,,,"flatrate"
94,,,"flatrate"
95,619,"Star Plus","flatrate"
96,,,"flatrate"
97,,,"flatrate"
98,,,"flatrate"
99,,,"flatrate"
100,384,"HBO Max","flatrate"
100,339,"Movistar Play","flatrate"
100,31,"HBO Go","flatrate"
101,,,"flatrate"
102,,,"flatrate"
103,,,"flatrate"
104,8,"Netflix","flatrate"
105,119,"Amazon Prime Video","flatrate"
105,384,"HBO Max","flatrate"
105,339,"Movistar Play","flatrate"
106,,,"flatrate"
107,337,"Disney Plus","flatrate"
108,,,"flatrate"
109,,,"flatrate"
110,619,"Star Plus","flatrate"
111,339,"Movistar Play","flatrate"
111,167,"Claro video","flatrate"
112,,,"flatrate"
113,619,"Star Plus","flatrate"
114,,,"flatrate"
115,,,"flatrate"
116,,,"flatrate"
117,,,"flatrate"
118,384,"HBO Max","flatrate"
118,339,"Movistar Play","flatrate"
118,31,"HBO Go","flatrate"
119,,,"flatrate"
120,,,"flatrate"
121,,,"flatrate"
122,,,"flatrate"
123,11,"Mubi","flatrate"
124,,,"flatrate"
125,,,"flatrate"
126,,,"flatrate"
127,,,"flatrate"
128,,,"flatrate"
129,,,"flatrate"
130,,,"flatrate"
131,,,"flatrate"
132,,,"flatrate"
133,,,"flatrate"
134,,,"flatrate"
135,,,"flatrate"
136,,,"flatrate"
137,,,"flatrate"
138,,,"flatrate"
139,,,"flatrate"
140,619,"Star Plus","flatrate"
141,,,"flatrate"
142,,,"flatrate"
143,,,"flatrate"
144,,,"flatrate"
145,167,"Claro video","flatrate"
146,,,"flatrate"
147,,,"flatrate"
148,,,"flatrate"
149,,,"flatrate"
150,8,"Netflix","flatrate"
150,384,"HBO Max","flatrate"
150,339,"Movistar Play","flatrate"
150,31,"HBO Go","flatrate"
151,,,"flatrate"
152,339,"Movistar Play","flatrate"
153,119,"Amazon Prime Video","flatrate"
153,384,"HBO Max","flatrate"
153,339,"Movistar Play","flatrate"
154,,,"flatrate"
155,,,"flatrate"
156,,,"flatrate"
157,,,"flatrate"
158,8,"Netflix","flatrate"
159,,,"flatrate"
160,,,"flatrate"
161,619,"Star Plus","flatrate"
162,,,"flatrate"
