"movieId","provider_id","provider_name","type"
1,3,"Google Play Movies","rent"
2,339,"Movistar Play","rent"
2,167,"Claro video","rent"
3,2,"Apple iTunes","rent"
3,3,"Google Play Movies","rent"
4,3,"Google Play Movies","rent"
5,3,"Google Play Movies","rent"
6,,,"rent"
7,2,"Apple iTunes","rent"
7,3,"Google Play Movies","rent"
7,167,"Claro video","rent"
8,,,"rent"
9,2,"Apple iTunes","rent"
9,3,"Google Play Movies","rent"
9,167,"Claro video","rent"
10,2,"Apple iTunes","rent"
10,3,"Google Play Movies","rent"
11,2,"Apple iTunes","rent"
11,167,"Claro video","rent"
12,,,"rent"
13,2,"Apple iTunes","rent"
13,3,"Google Play Movies","rent"
14,,,"rent"
15,,,"rent"
16,2,"Apple iTunes","rent"
16,3,"Google Play Movies","rent"
16,167,"Claro video","rent"
17,,,"rent"
18,167,"Claro video","rent"
19,3,"Google Play Movies","rent"
19,167,"Claro video","rent"
20,,,"rent"
21,3,"Google Play Movies","rent"
22,,,"rent"
23,2,"Apple iTunes","rent"
23,339,"Movistar Play","rent"
24,,,"rent"
25,2,"Apple iTunes","rent"
26,2,"Apple iTunes","rent"
26,3,"Google Play Movies","rent"
27,,,"rent"
28,,,"rent"
29,,,"rent"
30,,,"rent"
31,167,"Claro video","rent"
32,2,"Apple iTunes","rent"
32,3,"Google Play Movies","rent"
32,167,"Claro video","rent"
33,,,"rent"
34,2,"Apple iTunes","rent"
34,3,"Google Play Movies","rent"
34,167,"Claro video","rent"
35,,,"rent"
36,2,"Apple iTunes","rent"
37,,,"rent"
38,,,"rent"
39,2,"Apple iTunes","rent"
39,3,"Google Play Movies","rent"
39,167,"Claro video","rent"
40,,,"rent"
41,,,"rent"
42,,,"rent"
43,,,"rent"
44,2,"Apple iTunes","rent"
44,3,"Google Play Movies","rent"
45,,,"rent"
46,2,"Apple iTunes","rent"
46,167,"Claro video","rent"
47,2,"Apple iTunes","rent"
47,3,"Google Play Movies","rent"
47,167,"Claro video","rent"
48,3,"Google Play Movies","rent"
49,,,"rent"
50,3,"Google Play Movies","rent"
50,167,"Claro video","rent"
51,,,"rent"
52,,,"rent"
53,,,"rent"
54,,,"rent"
55,,,"rent"
56,,,"rent"
57,,,"rent"
58,,,"rent"
59,,,"rent"
60,,,"rent"
61,2,"Apple iTunes","rent"
61,3,"Google Play Movies","rent"
62,,,"rent"
63,,,"rent"
64,,,"rent"
65,2,"Apple iTunes","rent"
66,,,"rent"
67,,,"rent"
68,167,"Claro video","rent"
69,2,"Apple iTunes","rent"
70,2,"Apple iTunes","rent"
70,167,"Claro video","rent"
71,2,"Apple iTunes","rent"
72,,,"rent"
73,,,"rent"
74,,,"rent"
75,,,"rent"
76,,,"rent"
77,,,"rent"
78,,,"rent"
79,,,"rent"
80,,,"rent"
81,,,"rent"
82,,,"rent"
83,,,"rent"
84,,,"rent"
85,,,"rent"
86,,,"rent"
87,,,"rent"
88,2,"Apple iTunes","rent"
88,3,"Google Play Movies","rent"
89,,,"rent"
90,,,"rent"
92,,,"rent"
93,3,"Google Play Movies","rent"
94,,,"rent"
95,3,"Google Play Movies","rent"
96,,,"rent"
97,,,"rent"
98,,,"rent"
99,,,"rent"
100,,,"rent"
101,,,"rent"
102,,,"rent"
103,,,"rent"
104,2,"Apple iTunes","rent"
104,3,"Google Play Movies","rent"
104,167,"Claro video","rent"
105,2,"Apple iTunes","rent"
105,3,"Google Play Movies","rent"
106,,,"rent"
107,,,"rent"
108,,,"rent"
109,,,"rent"
110,3,"Google Play Movies","rent"
111,339,"Movistar Play","rent"
112,,,"rent"
113,,,"rent"
114,,,"rent"
115,,,"rent"
